Run Number,Word,Key,Reaction Time
5,MODEL,p,4.591422393001267
5,SELF,q,0.803737740003271
5,SELF,q,0.46206953300134046
5,SELF,q,0.4911592690041289
5,ALONE,q,0.6117426380005782
5,TRAP,q,2.084515132002707
5,OTHER,p,0.7326127400010591
5,SAD,q,0.8087977930044872
5,OTHER,p,0.5627535449966672
5,ADMIRE,p,0.7572314569988521
5,SELF,q,0.7721372730011353
5,PROSPECT,p,0.7097307690055459
5,OTHER,p,0.7592548899992835
5,FUN,p,0.9192852829946787
5,BRAVE,p,1.153371046995744
5,SHY,p,0.7242256619938416
5,HONEST,p,0.5465227419990697
5,RESTLESS,q,0.7276700690053985
5,OTHER,p,0.8103966830021818
5,FAIL,q,1.0855768930050544
5,DANGER,q,0.5734578400006285
5,OTHER,p,1.0720343889988726
5,ENEMY,q,2.5517640820035012
5,OTHER,p,0.8171182570004021
5,IMPULSE,q,0.7452958849971765
5,OTHER,p,0.5655038770055398
5,BEGGAR,q,0.582767777996196
5,AFRAID,q,1.6363132319966098
5,SUPERIOR,q,1.0435231560040847
5,BEAUTY,p,0.7339422329969238
5,OTHER,p,0.9809187460050453
5,STRONG,p,0.9491221610005596
5,SELF,q,0.5381312620011158
5,SKEPTICAL,q,0.619192161000683
5,TROUBLE,q,0.506097278004745
5,SELF,q,0.6349485749960877
5,OTHER,p,0.6910547019942896
5,OTHER,p,0.5665844219984137
5,WIN,p,0.6790991980014951
5,WEAK,q,0.8323588589992141
5,SELF,q,0.6431522179991589
5,OTHER,p,0.7792878260006546
5,SELF,q,0.611468409995723
5,TRUST,p,1.0116644440058735
5,SCHOLAR,p,0.9371073209986207
5,OTHER,p,0.739487402002851
5,INTIMATE,p,0.6086074229970109
5,SELF,p,0.84343199399882
5,SELF,p,2.4294440209996537
5,PROUD,p,1.9621711209983914
5,OTHER,p,1.1949711650013342
5,EMBARASS,q,1.233989105996443
5,INFERIOR,q,2.3396853750018636
5,SELF,q,0.5549338409982738
5,SELF,q,1.3654203450059867
5,OTHER,p,0.6577375019987812
5,SELF,q,0.45420822899905033
5,SELF,q,0.384771491997526
5,SELF,q,0.6452622219949262
5,OTHER,p,0.4353853220018209

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
0.6717802546429864,9.404923565001809,14.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
0.7555829456250649,12.089327130001038,16.0

3,OTHER,q,3.834157031000359
3,OTHER,q,0.46189073999994434
3,INTIMATE,p,0.8518142400062061
3,OTHER,q,0.4505686549964594
3,BEAUTY,p,0.895550066998112
3,MODEL,p,1.2987348070018925
3,FREE,p,0.4666462820023298
3,INFERIOR,q,1.2259320840021246
3,OTHER,q,0.4178918120014714
3,DISGRACE,q,0.5908588379970752
3,ENEMY,q,0.6968218129986781
3,OTHER,q,0.49209783200058155
3,HERO,q,0.42747845200210577
3,TERRIFIC,p,0.9359064890013542
3,SELF,p,0.6668052040040493
3,OTHER,q,0.6699329420007416
3,HELPLESS,q,3.540954435004096
3,OTHER,q,0.7017187319943332
3,OTHER,q,0.4854317870049272
3,SELF,p,0.7964920919985161
3,SELF,p,0.39162753200071165
3,SELF,p,0.3369636069983244
3,SELF,p,0.3518177310033934
3,OTHER,q,0.8011211359989829
3,SELF,p,0.5302383759990335
3,ALONE,q,1.0040330749980058
3,SELF,p,1.1098836170058348
3,SELF,p,0.4570999280040269
3,FAIL,q,0.8166061859956244
3,TROUBLE,q,1.151194674996077
3,AFRAID,q,0.7717287550040055
3,FUN,q,0.7343923179942067
3,BEGGAR,q,1.1721172789984848
3,OTHER,q,6.640473478997592
3,HELPFUL,p,1.0726688240029034
3,JOY,p,0.7908198260047357
3,HAPPY,p,1.5694423599998117
3,OTHER,q,0.6475897999989684
3,OTHER,q,0.3625841120010591
3,TRAP,p,1.3817465960019035
3,WEAK,p,0.8308392800026922
3,RESTLESS,p,1.125288097995508
3,SKEPTICAL,q,1.3934794149972731
3,OTHER,q,0.524173174999305
3,VOMIT,q,0.5261290130001726
3,OTHER,q,0.398105416999897
3,OTHER,q,0.36774155099556083
3,SELF,p,0.43473388200072804
3,SCHOLAR,p,0.5203413310009637
3,SAFE,p,0.5073554389964556
3,SELF,p,0.30047762300091563
3,SELF,p,0.27350396599649685
3,TRUST,p,0.5407091480010422
3,SELF,p,0.4463158580037998
3,BRAVE,p,0.34086767400003737
3,SELF,p,0.3908950190016185
3,NERVOUS,q,0.5418974990025163
3,SELF,p,0.34638749299483607
3,SELF,p,0.3365225099987583
3,IMPULSE,q,0.787925147000351

Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks
0.6163351706163667,16.024714436025533,26.0
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks
1.1241127291065953,31.475156414984667,28.0

